rank,model,eci,ci_low,ci_high,retrieved
1,GPT-6 Astra,167,163,172,2026-09-08
2,Claude Fable 5.1,164,161,168,2026-09-08
3,Claude Fable 5,163,161,167,2026-09-08
4,Claude Opus 5,163,160,166,2026-09-08
5,GPT-5.5 Pro,162,159,165,2026-09-08
6,GPT-5.6 Sol,162,160,165,2026-09-08
