rank,model,eci,ci_low,ci_high,retrieved
1,Claude Fable 5,162,159,166,2026-08-28
2,GPT-5.5 Pro,162,159,165,2026-08-28
3,Claude Opus 5,162,159,165,2026-08-28
4,GPT-5.6 Sol,161,159,164,2026-08-28
5,GPT-5.6 Terra,159,156,161,2026-08-28
6,GPT-5.5,159,156,161,2026-08-28
7,GPT-5.4 Pro,159,156,161,2026-08-28
8,Claude Opus 4.8,158,156,160,2026-08-28
9,Kimi K3,157,155,160,2026-08-28
10,Gemini 3.7 Flash,157,155,160,2026-08-28
11,GPT-5.4,156,155,158,2026-08-28
12,Qwen 3.8 Max,156,155,158,2026-08-28
13,GPT-5.3 Codex,156,154,160,2026-08-28
14,GPT-5.6 Luna,156,154,159,2026-08-28
15,Grok 4.6,156,154,158,2026-08-28
16,Claude Opus 4.7,156,154,158,2026-08-28
17,Claude Sonnet 5,156,153,158,2026-08-28
