rank,model,eci,ci_low,ci_high,retrieved
1,GPT-5.5 Pro,161,158,169,2026-07-07
2,Claude Fable 5,161,158,169,2026-07-07
3,GPT-5.5,159,157,167,2026-07-07
4,Claude Opus 4.8,158,155,166,2026-07-07
5,GPT-5.4 Pro,158,156,166,2026-07-07
6,Claude Opus 4.7,156,154,164,2026-07-07
7,GPT-5.4,156,154,164,2026-07-07
8,GPT-5.3 Codex,156,153,164,2026-07-07
9,Claude Opus 4.6,156,153,163,2026-07-07
10,Gemini 3.1 Pro,155,153,163,2026-07-07
11,Gemini 3.5 Flash,155,153,163,2026-07-07
12,GPT-5.2 Pro,155,152,162,2026-07-07
13,Muse Spark,154,152,162,2026-07-07
14,Grok 4.20,154,150,161,2026-07-07
15,GPT-5.2,154,151,161,2026-07-07
16,Claude Sonnet 4.6,153,150,161,2026-07-07
17,Gemini 3 Pro,153,151,160,2026-07-07
18,Qwen3.7-Max,153,151,161,2026-07-07
19,GLM-5.2,152,149,159,2026-07-07
20,Kimi K2.6,151,148,158,2026-07-07
21,Gemini 3 Flash,151,146,158,2026-07-07
22,GLM-5.1,151,148,157,2026-07-07
23,GPT-5 Pro,150,148,157,2026-07-07
24,Kimi K2.7 Code,150,148,157,2026-07-07
25,GPT-5,150,148,156,2026-07-07
26,GPT-5.1,150,147,156,2026-07-07
27,DeepSeek-V4-Pro,150,148,157,2026-07-07
28,Qwen 3.6 Max (Preview),150,147,157,2026-07-07
29,Claude Opus 4.5,150,147,157,2026-07-07
30,Qwen 3.6 Plus,149,146,155,2026-07-07
31,GPT-5.4 Mini,149,146,155,2026-07-07
32,Grok 4.3 Beta,149,147,155,2026-07-07
33,Kimi K2.5,148,146,154,2026-07-07
34,o3-pro,148,146,155,2026-07-07
35,MiniMax-M2.5,147,143,153,2026-07-07
36,o3,147,144,153,2026-07-07
37,Grok 4,147,145,154,2026-07-07
38,Qwen 3.5 Plus (hosted 397B-A17B),147,144,153,2026-07-07
39,Claude Sonnet 4.5,147,145,153,2026-07-07
40,DeepSeek-V3.2,147,144,152,2026-07-07
41,GPT-5.4 Nano,147,144,153,2026-07-07
42,o4-mini,146,144,152,2026-07-07
43,GLM-5,146,144,152,2026-07-07
44,Gemini 2.5 Pro (Jun 2025),146,144,152,2026-07-07
45,Kimi K2 Thinking,146,143,152,2026-07-07
46,GPT-5 mini,146,143,151,2026-07-07
47,MiniMax-M2.7,146,138,152,2026-07-07
48,DeepSeek-V3.2-Exp,145,142,151,2026-07-07
49,Qwen3-235B-A22B-Thinking (Jul 2025),145,142,152,2026-07-07
50,Gemini 2.5 Pro (Mar 2025),145,142,151,2026-07-07
51,Qwen 3.6 Flash,145,142,151,2026-07-07
52,Grok 4 Fast,145,141,151,2026-07-07
53,Gemini 3.1 Flash-Lite,144,138,150,2026-07-07
54,Claude Opus 4.1,144,141,150,2026-07-07
55,Qwen3-Max,144,140,158,2026-07-07
56,Qwen 3.5 Flash (hosted 35B-A3B),144,141,150,2026-07-07
57,GLM-4.7,144,141,149,2026-07-07
58,Gemini 2.5 Flash (Sep 2025),143,140,150,2026-07-07
59,Claude Opus 4,143,140,148,2026-07-07
60,Gemini 2.5 Pro (May 2025),143,139,148,2026-07-07
61,Claude Haiku 4.5,143,140,148,2026-07-07
62,o1,143,140,148,2026-07-07
63,Gemini 2.5 Flash (May 2025),142,140,148,2026-07-07
64,Claude Sonnet 4,142,139,147,2026-07-07
65,DeepSeek-R1 (May 2025),142,140,147,2026-07-07
66,Claude 3.7 Sonnet,142,139,147,2026-07-07
67,o3-mini,141,139,147,2026-07-07
68,Grok-3 mini,141,138,147,2026-07-07
69,Kimi K2 (Sep 2025),141,139,146,2026-07-07
70,GLM-4.6,141,137,146,2026-07-07
71,GPT-5 nano,141,137,146,2026-07-07
72,Gemini 2.5 Flash (Apr 2025),141,137,146,2026-07-07
73,gpt-oss-120b,140,136,147,2026-07-07
74,Kimi K2 (Jul 2025),140,137,146,2026-07-07
75,Gemini 2.5 Flash (Jun 2025),140,138,146,2026-07-07
76,DeepSeek-R1,140,137,145,2026-07-07
77,Qwen3-235B-A22B,140,136,144,2026-07-07
78,Grok 3,139,137,144,2026-07-07
79,Qwen3-235B-A22B-Instruct (Jul 2025),139,136,144,2026-07-07
80,DeepSeek-V3.1,139,136,145,2026-07-07
81,GPT-4.5,138,135,142,2026-07-07
82,GPT-4.1,137,135,142,2026-07-07
83,DeepSeek-V3 (Mar 2025),137,135,142,2026-07-07
84,o1-mini,137,134,141,2026-07-07
85,Gemini 2.0 Flash Thinking (Jan 2025),136,132,141,2026-07-07
86,o1-preview,136,133,142,2026-07-07
87,Gemini 2.0 Flash (Feb 2025),136,134,140,2026-07-07
88,GPT-4.1 mini,136,133,140,2026-07-07
89,Gemini 2.0 Pro,136,133,140,2026-07-07
90,Mistral Medium 3,135,132,140,2026-07-07
91,Gemini 2.0 Flash (Dec 2024),135,125,140,2026-07-07
92,Claude 3.5 Sonnet (October 2024),134,131,141,2026-07-07
93,Qwen2.5-Max,133,130,139,2026-07-07
94,Magistral Small 1.1,133,128,138,2026-07-07
95,Llama 4 Maverick,133,130,138,2026-07-07
96,DeepSeek-V3,133,129,138,2026-07-07
97,Gemini 1.5 Pro (Sept 2024),133,130,137,2026-07-07
98,Gemma 3 27B,131,127,135,2026-07-07
99,Phi-4,131,127,135,2026-07-07
100,GPT-4.1 nano,131,127,135,2026-07-07
101,Grok-2 (Dec 2024),131,128,135,2026-07-07
102,Llama 4 Scout,131,128,134,2026-07-07
103,Gemini 1.5 Flash (Sep 2024),130,126,135,2026-07-07
104,Claude 3.5 Sonnet,130,128,135,2026-07-07
105,GPT-4o (Nov 2024),129,127,134,2026-07-07
106,GPT-4o (Aug 2024),129,126,133,2026-07-07
107,Qwen2.5-72B,129,124,133,2026-07-07
108,Llama 3.1-405B,129,126,133,2026-07-07
109,GPT-4o (May 2024),129,126,133,2026-07-07
110,Mistral Large 2 (Nov 2024),129,126,133,2026-07-07
111,Mistral Small 3.1,128,125,131,2026-07-07
112,GPT-4 Turbo (Apr 2024),128,125,131,2026-07-07
113,Mistral Large 2 (Jul 2024),128,125,131,2026-07-07
114,Claude 3.5 Haiku,127,122,132,2026-07-07
115,Llama 3.3 70B,127,125,132,2026-07-07
116,Gemini 1.5 Pro (May 2024),127,125,131,2026-07-07
117,GPT-4o mini,127,122,131,2026-07-07
118,Claude 3 Opus,127,125,131,2026-07-07
119,GPT-4 (Mar 2023),126,123,132,2026-07-07
120,Llama 3.2 90B,126,123,129,2026-07-07
121,Llama 3.1-70B,125,122,129,2026-07-07
122,Qwen2-72B,125,122,128,2026-07-07
123,"DeepSeek-V2 (MoE-236B, May 2024)",125,122,128,2026-07-07
124,Amazon Nova Pro,124,113,128,2026-07-07
125,Llama 3-70B,123,120,126,2026-07-07
126,Gemini 1.5 Flash (May 2024),123,119,126,2026-07-07
127,Gemma 2 27B,122,119,125,2026-07-07
128,GPT-4 (Jun 2023),122,119,125,2026-07-07
129,phi-3-small 7.4B,122,117,125,2026-07-07
130,Mixtral 8x22B,121,117,124,2026-07-07
131,Claude Instant,121,118,125,2026-07-07
132,phi-3-medium 14B,121,118,124,2026-07-07
133,Mistral Large,121,116,125,2026-07-07
134,Claude 3 Sonnet,120,115,124,2026-07-07
135,Claude 2,120,116,125,2026-07-07
136,Gemma 2 9B,120,115,123,2026-07-07
137,Qwen2.5-Coder-32B,119,113,125,2026-07-07
138,Mistral NeMo,118,114,122,2026-07-07
139,Claude 2.1,118,114,121,2026-07-07
140,GPT-3.5 Turbo (Nov 2023),118,113,122,2026-07-07
141,Mixtral 8x7B,118,115,121,2026-07-07
142,Claude 3 Haiku,118,114,121,2026-07-07
143,Yi-34B,117,114,120,2026-07-07
144,phi-3-mini 3.8B,117,112,120,2026-07-07
145,Gemini 1.0 Pro,117,114,120,2026-07-07
146,Stable Beluga 2,117,113,120,2026-07-07
147,Llama 3-8B,116,112,119,2026-07-07
148,Llama 3.1-8B,115,106,121,2026-07-07
149,GPT-3.5 Turbo (Jan 2024),114,108,117,2026-07-07
150,Llama 2-70B,114,110,117,2026-07-07
151,GPT-3.5 Turbo (Jun 2023),113,110,117,2026-07-07
152,Qwen2.5-Coder (7B),113,106,118,2026-07-07
153,Qwen-14B,113,109,117,2026-07-07
154,Mistral 7B v0.1,112,108,115,2026-07-07
155,Falcon-180B,112,108,119,2026-07-07
156,Gemma 7B,112,108,115,2026-07-07
157,LLaMA-65B,110,107,113,2026-07-07
158,Falcon 2 11B,109,106,114,2026-07-07
159,Phi-2,108,93,112,2026-07-07
160,Nemotron-4 15B,107,104,112,2026-07-07
161,LLaMA-33B,107,104,110,2026-07-07
162,Qwen-7B,106,100,111,2026-07-07
163,Llama 2-13B,106,103,109,2026-07-07
164,Llama 2-34B,105,102,108,2026-07-07
165,StarCoder 2 15B,105,98,111,2026-07-07
166,Yi 6B,104,101,108,2026-07-07
167,Falcon-40B,104,101,108,2026-07-07
168,Baichuan2-13B,103,95,108,2026-07-07
169,Qwen2.5-Coder (1.5B),103,91,109,2026-07-07
170,INTELLECT-1,100,97,103,2026-07-07
171,MPT-30B,100,98,103,2026-07-07
172,LLaMA-13B,100,97,104,2026-07-07
173,Llama 2-7B,99,95,102,2026-07-07
174,LLaMA-7B,96,91,101,2026-07-07
175,Baichuan 2-7B,96,91,102,2026-07-07
176,DeepSeek Coder 33B,96,90,100,2026-07-07
177,Falcon-7B,95,90,100,2026-07-07
178,MPT-7B,94,89,99,2026-07-07
179,Gemma 2B,94,90,97,2026-07-07
180,StarCoder 2 7B,93,84,99,2026-07-07
181,XGen-7B,93,89,97,2026-07-07
182,Phi-1.5,91,73,98,2026-07-07
183,Baichuan1-7B,90,85,95,2026-07-07
184,Dolly 2.0-12b,89,83,94,2026-07-07
185,DeepSeek Coder 6.7B,89,83,95,2026-07-07
186,StarCoder 2 3B,88,81,94,2026-07-07
187,Cerebras-GPT-13B,83,76,87,2026-07-07
188,DeepSeek Coder 1.3B,64,59,74,2026-07-07
