model,eci,n,brier,brier_climatology,bss,mean_pred,mean_obs,ece
openai/gpt-3.5-turbo-0125,114,1739,0.15534640598044855,0.041032486011321,-2.7859369753416345,0.256710753306498,0.04370327774583094,0.21824036802760208
deepinfra/meta-llama/Llama-3.3-70B-Instruct-Turbo,127,1739,0.3773796434732605,0.041032486011321,-8.197094306426868,0.5852903967797585,0.04370327774583094,0.5415871190339275
openai/gpt-4o,129,1739,0.22552708453133985,0.041032486011321,-4.496305645948826,0.38820011500862567,0.04370327774583094,0.34449683726279473
deepinfra/deepseek-ai/DeepSeek-V3,133,1739,0.3080232317423807,0.041032486011321,-6.506813787919067,0.4819666474985624,0.04370327774583094,0.43872340425531914
openai/gpt-4.1-2025-04-14,137,1739,0.27772836400230017,0.041032486011321,-5.768499571916602,0.3960695802185164,0.04370327774583094,0.35236630247268547
anthropic/claude-haiku-4-5-20251001,143,1739,0.26584859114433584,0.041032486011321,-5.478978414103092,0.41410580793559515,0.04370327774583094,0.3704025301897642
anthropic/claude-sonnet-4-5-20250929,147,1739,0.23029281196089707,0.041032486011321,-4.612450873616542,0.3754571592869465,0.04370327774583094,0.33175388154111557
openai/gpt-5-2025-08-07,150,1739,0.2191795865439908,0.041032486011321,-4.341611192739295,0.36298389879240944,0.04370327774583094,0.3192806210465785
anthropic/claude-opus-4-6,156,1739,0.1859878090856814,0.041032486011321,-3.532696581785631,0.32619896492236916,0.04370327774583094,0.2824956871765383
anthropic/claude-opus-4-8,158,1739,0.15614738355376653,0.041032486011321,-2.805457546751736,0.26201265094882115,0.04370327774583094,0.2183093732029902
anthropic/claude-fable-5,161,1739,0.14748010350776308,0.041032486011321,-2.5942278385733886,0.22855089131684875,0.04370327774583094,0.18484761357101784
openai/gpt-5.5,159,1739,0.19123138470385279,0.041032486011321,-3.6604874160218177,0.33839677975848187,0.04370327774583094,0.29469350201265093
gemini/gemini-3.1-pro-preview,155,1731,0.17029329867128826,0.040690980860213284,-3.1850379389059453,0.28506643558636624,0.043327556325823226,0.24173887926054302
xai/grok-4.20,154,1739,0.22212231167337548,0.041032486011321,-4.413328152042535,0.3817883841288096,0.04370327774583094,0.33808510638297873
anthropic/claude-opus-5,162,1739,0.14044426394479587,0.041032486011321,-2.42275785839656,0.21941058079355952,0.04370327774583094,0.1759085681426107
openai/gpt-5.6-sol,161,1739,0.2535914134560092,0.041032486011321,-5.180259548155149,0.4144232317423807,0.04370327774583094,0.3737101782633698
