eci,eci_source,name,openrouter_id,registry_key,reasoning_capable,max_completion_tokens,prompt_usd_per_m,completion_usd_per_m,resolved_at
114,epoch_capabilities_index_2026-07-07.csv,GPT-3.5 Turbo (Jan 2024),openai/gpt-3.5-turbo,gpt-3.5-turbo,False,4096,0.5,1.5,2026-08-28
127,epoch_capabilities_index_2026-07-07.csv,Llama 3.3 70B,meta-llama/llama-3.3-70b-instruct,llama-3.3-70b,False,16384,0.71,0.71,2026-08-28
129,epoch_capabilities_index_2026-07-07.csv,GPT-4o (Nov 2024),openai/gpt-4o-2024-11-20,gpt-4o,False,16384,2.5,10.0,2026-08-28
147,epoch_capabilities_index_2026-07-07.csv,Claude Sonnet 4.5,anthropic/claude-sonnet-4.5,claude-sonnet-4-5,True,64000,3.0,15.0,2026-08-28
156,epoch_capabilities_index_2026-07-07.csv,Claude Opus 4.6,anthropic/claude-opus-4.6,claude-opus-4-6,True,64000,5.0,25.0,2026-08-28
158,epoch_capabilities_index_2026-07-07.csv,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4-8,True,64000,5.0,25.0,2026-08-28
155,epoch_capabilities_index_2026-07-07.csv,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,gemini-3.1-pro,True,65536,2.0,12.0,2026-08-28
154,epoch_capabilities_index_2026-07-07.csv,Grok 4.20,x-ai/grok-4.20,grok-4.20,True,131072,1.25,2.5,2026-08-28
