model,name,eci,pooled_intervention_recovered
meta-llama/llama-4-scout,Llama 4 Scout,130.52,0.1429
deepseek/deepseek-chat,DeepSeek V3,133.03,0.1004
openai/gpt-4.1,GPT-4.1,137.52,0.5387
qwen/qwen3-235b-a22b,Qwen3 235B,139.61,0.6061
google/gemini-2.5-flash,Gemini 2.5 Flash,140.31,0.6661
moonshotai/kimi-k2,Kimi K2,140.42,0.4147
openai/gpt-5-nano,GPT-5 Nano,140.85,0.0830
anthropic/claude-haiku-4.5,Claude Haiku 4.5,142.91,0.4007
qwen/qwen3.5-flash-02-23,Qwen3.5-Flash,144.12,0.5806
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,144.66,0.3668
openai/gpt-5-mini,GPT-5 Mini,145.83,0.6958
openai/o4-mini,o4 Mini,146.53,0.3003
openai/gpt-5.4-nano,GPT-5.4 Nano,146.54,0.4592
openai/o3,o3,147.1,0.7242
openai/gpt-5,GPT-5,150.0,0.7156
google/gemini-3-flash-preview,Gemini 3 Flash,150.71,0.5597
anthropic/claude-sonnet-5,Claude Sonnet 5,155.9,0.7543
openai/gpt-5.6-luna,GPT-5.6 Luna,156.22,0.8225
google/gemini-3.7-flash,Gemini 3.7 Flash,156.85,0.5189
openai/gpt-5.5,GPT-5.5,158.63,0.8247
openai/gpt-5.6-sol,GPT-5.6 Sol,161.08,0.8065
anthropic/claude-opus-5,Claude Opus 5,161.54,0.7809
anthropic/claude-fable-5,Claude Fable,162.49,0.6684
